Year,Population
2000,6289000
2001,6460000
2002,6600000
2003,6600000
2004,6780000
2005,6930000
2006,7116000
2007,7244000
2008,7337000
2009,7552000
2010,7695000
2011,7746000
2012,7836000
2013,8081000
2014,8345000
2015,8462000
2016,8522000
2017,8630000
2018,8972000
2019,9092000
2020,9291000
2021,9998000
2022,9656000
2023,9795000
